,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
178742,EMPLOYEE BENEFITS,SUPPORT SERVICES-INSTRUCTIONAL,FEDERAL GDPG FUND - FY ,Office Support II ,,,EARLY CHILDHOOD EDUCATION,,HEAD START,OFFICE/ADMINISTRATIVE SUPPORT,,2305.75,EARLY EDUCATION,n/a,,INSTRUCTIONAL STAFF
48115,Employee Allowance,Undistributed,,TRAVEL,,General,Educator Quality ,,Curriculum & Instructional Staff Development,,,2869.97568947,,,General Fund,
205272,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,School ,0.0,EXCEPTIONAL                   ,,,58.29,,,GENERAL FUND                  ,
58168,Equipment Maintenance Repairs,Basic Educational Services,,,,Band,School ,,Instruction,,,,,,General Fund,
180978,General Supplies,Athletics and Related,,,,Boys Track,School ,,Cocurricular & Extra Curricular Activities,,,1700.14,,,Athletics,
353139,PURCH MAINT SRVCS,MAINTENANCE - HVAC,CAPITAL RESERVE FUND,(blank),,,,,NON-PROJECT,UNDESIGNATED,,1015.26,MAINTENANCE,Regular,,OPERATION AND MAINT OF PLANT
312446,Employee Allowance,Undistributed,,TRAVEL,,General,School ,,School Leadership,,,708.2671563069998,,,General Fund,
173092,SALARIES OF PART TIME EMPLOYEE,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",,,,0.0129310344828,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,,386.724954775,TEACHER SUBS,Regular,,REGULAR INSTRUCTION
125016,Salary Adjustments,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,,,,Title I- Part A,
48208,Professional Salaries,Undistributed,,SCIENCE SPEC,,General,Science and Health,0.5,Curriculum & Instructional Staff Development,,,36778.524313699985,,,General Fund,
140655,Professional Salaries,,,Teacher - HS CTE Automotive,,,School ,1.0,,,,55692.52474380001,,,General Fund,
361960,Food/Refreshment,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Curriculum & Instructional Staff Development,,,2999.71,,,Title I- Part A,
358921,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",,,,,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,,2.01,TEACHER SUBS,Regular,,REGULAR INSTRUCTION
273506,Subs for Support Personnel,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,0.1,,,General Fund,
256109,EMPLOYEE BENEFITS,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,"Teacher, Short Term Sub ",,,,,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,0.24999999999999994,,Alternative,,INSTRUCTIONAL STAFF
123643,Professional Salaries,Bilingual Education,,T-EL 5TH ESL,,General,School ,1.0,Instruction,,,54202.1393412,,,General Fund,
311697,Extra Duty Pay/Overtime For Support Personnel,Undistributed,Operations,"TRANSPORTATION, SUBSTITUTE,REG",Transportation Department,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Transportation,RADIO & SUBSTITUTE DRIVERS,transportation - Second Runs,3.99,,,General Operating Fund,WAITING TIME
1031,General Supplies,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Curriculum & Instructional Staff Development,,,800.59,,,Title I- Part A,
422132,,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,1000.78,,,Title I- Part A,
191655,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Elementary ",,,,,EMPLOYEE RETIREMENT,UNDESIGNATED,,670.48,,n/a,,EMPLOYEE BENEFITS
213621,Professional Salaries,Basic Educational Services,,T-EL ART,,General,School ,1.0,Instruction,,,54202.4993412,,,General Fund,
98708,Reading Materials including Library Books,Basic Educational Services,,,,Business-MS    (Teaching Pathway-old name),School ,,Instruction,,,59.52,,,General Fund,
94100,Reproduction Services,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,1499.49,,,Title I- Part A,
401246,Extra Duty/Signing Bonus Pay,Athletics and Related,,"ASST COACH,NVFB",,General,School ,,Cocurricular & Extra Curricular Activities,,,4985.92781078,,,Athletics,
131865,,HIGH SCHOOL GENERAL EDUCATION PROGRAM 9-12,,Teacher-High School,,,,1.0,,HS HISTORY ,,56342.43,,,General Fund,
335620,Extra Duty/Overtime,State Comp.Ed.-Support Title I Campuses,,,,Account For Learning,School ,,Community Services,,,0.82,,,General Fund,
90520,Professional Salaries,Basic Educational Services,,T-EL ART,,General,School ,0.67,Instruction,,,35410.6135565,,,General Fund,
168031,Salaries And Wages For Teachers And Other Professi,PRE-K,Idea Part B Formula,SPECIAL ED SPEECH THERAPIST,Instruction And Curriculum,Extended Year,Summer School,,"""Guidance, Counseling And Evaluation Services""",SPEECH THERAPIST,Extra Duty,182.469109901,,,Idea Part B Formula,EXTENDED YEAR
47397,Extra Duty/Overtime,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,-0.44,,,General Fund,
86147,Employee Allowance,Undistributed,,TRAVEL,,General,School ,,School Leadership,,,799.5903061980002,,,General Fund,
447069,Subs for Support Personnel,Undistributed,,FOOD PROD SUB,,General,Food Service,,Food Services,,,22.91,,,Nat'l Schl Breakfast & Lunch Prog.,
88177,Salaries And Wages For Teachers And Other Professi,Basic Educational Services,Operations,TEACHER SUBSTITUTE POOL,All Campus Payroll,Salaries And Wages For Teachers And Other Professi,School ,0.0,Instruction,CERTIFIED SUBSTITUTE,Basic Educational Services - District Objective ,46.737325989700004,,,General Operating Fund,REGULAR PAY
122346,Extra Duty/Signing Bonus Pay,State Comp.Ed.-Support Title I Campuses,,,,Account For Learning,School ,,Instruction,,,10960.3243198,,,General Fund,
444896,Professional Salaries,Basic Educational Services,,T-HS MATH,,General,School ,1.0,Instruction,,,54877.53008119999,,,General Fund,
202905,Supplemental *,,Special Instruction,,,Certificated Employees Salaries And Wages,,,Disadvantaged Youth *,,,-1907.31,,,Title I - Disadvantaged Children/Targeted Assistance,TITLE  SCHOOLWIDE
21962,SALARIES OF REGULAR EMPLOYEES,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Elementary ",,,,0.500015454419,ELA E-TEACHING SHELTERED ENG,PROFESSIONAL-INSTRUCTIONAL,,28865.883635900005,,Regular,,REGULAR INSTRUCTION
209671,Employee Travel  (including In-District and Out-of-District),Undistributed,,,,General,Cable TV,,Instructional Resource & Media Services,,,168.91,,,General Fund,
210755,SALARIES OF PART TIME EMPLOYEE,GENERAL ELEMENTARY EDUCATION,ARRA - STIMULUS,Reading & Writing Asst ,,,,0.138095238095,TITLE I A - ARRA,PARAPROFESSIONAL,,3023.55206032,,Regular,,REGULAR INSTRUCTION
40879,Other Professional and Technical Services,,Academic Oriented Activities,,,Professional And Technical Services *,,,Academic Oriented Activities,,,,,,Public School Support,STUDENT ACTIVITY FUND
130130,PURCHASED PROFESSIONAL AND TECH SVCS-OTHER FEES,PRIMARY GRADES PROGRAM ,PRIMARY GRADES PROGRAM ,,,,,,INSTRUCTION,,,694.9799999999998,,,General Fund,
94672,Reading Materials including Library Books,Career and Technology,,,,Comm/Digital Media,School ,,Instruction,,,94.43,,,General Fund,
334289,Part-Time Hourly,Undistributed,,,,General,Math,,Instructional Leadership,,,6555.11070654,,,General Fund,
74723,Extra Duty/Signing Bonus Pay,Accelerated Education,,,,Stud Support,School ,,Instruction,,,1092.88845109,,,General Fund,
140574,Personal Services - Substitute Teachers Certified,Instruction - Regular,,,,,,0.0,,SUBSTITUTE TEACHER,Race to the Top ,70.7099,,,School Federal Projects,RACE TO THE TOP
373068,Professional Salaries,Bilingual Education,,T-EL 3RD ESL,,General,School ,1.0,Instruction,,,55552.26745650001,,,General Fund,
167820,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,Prekindergarten Demonstration School,1.0,Instruction,,,33924.775279500005,,,General Fund,
367685,SALARIES OF REGULAR EMPLOYEES,PSYCHOLOGICAL SERVICES,FEDERAL GDPG FUND - FY ,Psychologist ,,,SPECIAL EDUCATION,,TITLE VI-IDEA B-MAIN,PROFESSIONAL-INSTRUCTIONAL,,45.872,,n/a,,STUDENTS
128893,,Misc,,Technical Support Specialist III,,,Consolidated School Nutrition,1.0,,NONE ,,82180.26,,,School Nutrition Service Fund,
30744,Professional Salaries,Bilingual Education,,T-EL 2ND ESL,,General,School ,1.0,Instruction,,,52514.4061989,,,General Fund,
361957,Professional Salaries,Basic Educational Services,, CHOIR,,Choral Music,School ,1.0,Instruction,,,52514.06619890001,,,General Fund,
181234,Part-Time Hourly,Undistributed,,,,General,Assoc Superintendent-Area  Elementary ,,Instructional Leadership,,,-0.95,,,General Fund,
243872,Professional Services,Undistributed,,,,General,Health Services,,Curriculum & Instructional Staff Development,,,1000.18,,,General Fund,
394742,Professional Salaries,Basic Educational Services,,T-EL 2ND,,General,School ,1.0,Instruction,,,52513.9061989,,,General Fund,
283218,Extra Duty/Overtime,Special Education,,,,General,School ,,Instruction,,,0.32,,,General Fund,
212661,Professional Dues,Undistributed,,,,Line Item that is paid with Campus' money,School ,,School Leadership,,,199.7,,,General Fund,
320166,SALARIES OF PART TIME EMPLOYEE,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,General Assignment ,,,,0.439386529387,NON-PROJECT,PARAPROFESSIONAL,,7048.384475280001,,Regular,,REGULAR INSTRUCTION
76054,Professional Salaries,Basic Educational Services,,T-EL 5TH,,General,School ,1.0,Instruction,,,56475.27147380001,,,General Fund,
402013,Professional Salaries,Basic Educational Services,,T-HS MATH,,General,School ,1.0,Instruction,,,59176.315264,,,General Fund,
97898,Personal Services - Substitute Teachers Certified,Instruction - Regular,,,,,,0.0,,SUBSTITUTE TEACHER,Regular Instruction,212.43,,,General Purpose School,
406917,Coaching Supplement,,,FOOTBALL COACH ASSIS,,,,,,,,3955.20452163,,,,
227426,Extra Duty/Signing Bonus Pay,State Comp.Ed.-Support Title I Campuses,,,,General,,,Instruction,,,4961.452,,,Title I- Part A,
148532,General Supplies,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Instructional Resource & Media Services,,,1499.66,,,General Fund,
210217,Salaries for Support Personnel,Accelerated Education,,,,Cycle  (used for grants),Learning Support Services,,Community Services,,,-0.22,,,Title I- Part A,
99960,Electricity,Undistributed,,,,General,South Bus Terminal (New Bus Terminal),,Plant Maintenance & Operations,,,28300.66,,,General Fund,
79225,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Elementary ",,,,,ELA S - TEACHING SPANISH ONLY,PROFESSIONAL-INSTRUCTIONAL,,979.34,,Regular,,REGULAR INSTRUCTION
304984,Extra Duty/Signing Bonus Pay,Undistributed,,,,General,Visual Arts,,Curriculum & Instructional Staff Development,,,2184.11690218,,,General Fund,
213123,General Supplies,Basic Educational Services,,,,Orchestra,School ,,Instruction,,,1199.22,,,General Fund,
426952,Professional Salaries,Special Education,,T-HS/SE SBS,,General,School ,1.0,Instruction,,,67029.34184090003,,,General Fund,
47163,SALARIES OF REGULAR EMPLOYEES,SPECIAL EDUCATION-CONVERSION,GENERAL FUND,Teacher,,,,,SPECIAL ED. - MILD/MODERATE,PROFESSIONAL-INSTRUCTIONAL,,5048.41808,,Regular,,SPECIAL EDUCATION
84304,Professional Salaries,Basic Educational Services,,T-EL 1ST,,General,School ,1.0,Instruction,,,57149.492213800004,,,General Fund,
207107,,,LOCAL,TEACHER,,,,1.0,,,,93726.5179518,GENERAL EDUCATION,,,
358824,Maint: Vehicles,Special Education,,,,General,Transportation Office,,Student Transportation,,,45999.96,,,General Fund,
193114,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Elementary ",,,,,SPECIAL PROGRAM FUNDING,PROFESSIONAL-INSTRUCTIONAL,,466.23,,Regular,,REGULAR INSTRUCTION
279180,Professional Salaries,Basic Educational Services,,T-EL 4TH,,General,School ,0.5,Instruction,,,30475.7425184,,,General Fund,
94253,CLASSROOM TEACHER             ,,,"TEACHER, FIRST                ",,,School ,1.0,BASIC (FEFP K-12)             ,,,44912.7510867,,,GENERAL FUND                  ,
343847,Extra Duty/Signing Bonus Pay,Undistributed,,DRAMATICS DIR,,General,School ,,Cocurricular & Extra Curricular Activities,,,1912.57470786,,,General Fund,
321121,ADDITIONAL/EXTRA DUTY PAY/STIP,AFTER SCHOOL PROGRAMS,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Elementary ",,,,,LIGHTS ON AFTER SCHOOL ,PROFESSIONAL-INSTRUCTIONAL,,1370.59608,,Regular,,COCURRICULAR ED/ACTIVITIES
16583,EMPLOYER PD MED CONTRIBUTION,CARE & UPKEEP OF BLDG SERVICES,GENERAL FUND,Facility Manager V ,,,,,NON-PROJECT,OFFICE/ADMINISTRATIVE SUPPORT,,503.76,,Regular,,OPERATION AND MAINT OF PLANT
67880,Subs for Support Personnel,Undistributed,,FOOD PROD SUB,,General,Food Service,,Food Services,,,14.68,,,Nat'l Schl Breakfast & Lunch Prog.,
60317,Extra Duty/Signing Bonus Pay,Undistributed,,DEPT CHAIR,,General,School ,,Cocurricular & Extra Curricular Activities,,,6042.91887143,,,General Fund,
113599,ADDITIONAL/EXTRA DUTY PAY/STIP,SUPPORT SERVICES-INSTRUCTIONAL,FEDERAL GDPG FUND - FY ,"Teacher, Elementary ",,,ENGLISH FOR SPEAKERS OF OTHER,,TITLE III  ELA,PROFESSIONAL-INSTRUCTIONAL,,274.32,,n/a,,INSTRUCTIONAL STAFF
304996,Substitute Teachers,Special Education,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,-0.36,,,General Fund,
224518,Professional Salaries,Bilingual Education,,T-EL 4TH BIL,,General,School ,1.0,Instruction,,,52514.69619890001,,,General Fund,
252702,Professional Salaries,High School Allotment,,T-HS ENGLISH,,General,School ,1.0,Instruction,,,52515.4761989,,,General Fund,
248028,Professional Services,Accelerated Education,,,,General,Learning Support Services,,"Guidance, Counseling and Evaluation Services",,,10000.06,,,General Fund,
90586,TRAVEL - EMPLOYEES,Misc,MISCELLANEOUS,,,,ADMIN. SERVICES,,GENERAL ADMINISTRATION,,,21.16,,,General Fund,
118962,Professional Salaries,Bilingual Education,,T-EL 5TH,,General,School ,1.0,Instruction,,,53864.1643143,,,General Fund,
112432,Miscellaneous Contracted Srvcs,Undistributed,,,,Police Dept Courier Srvc,Independence,,Food Services,,,1827.12,,,Nat'l Schl Breakfast & Lunch Prog.,
78649,GENERAL SUPPLIES,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,(blank),,,,,NON-PROJECT,UNDESIGNATED,,20430.52,,Regular,,REGULAR INSTRUCTION
110651,TEACHER COVERAGE FOR TEACHER,GENERAL HIGH SCHOOL EDUCATION,GENERAL FUND,"Teacher, Secondary (High) ",,,,,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,440.59024000000005,TEACHER SUBS,Turnaround,,REGULAR INSTRUCTION
268726,Regular *,,Regular Instruction,"TCHR, K-8 PRIMARY (GR ",,Certificated Employees Salaries And Wages,SCHOOL IMPROVEMENT CENTER,1.0,Elementary,,,103444.382863,TEACHER,,General,SCHOOL BASED MANAGEMENT
363411,Extra Duty Pay/Overtime For Support Personnel,Undistributed,Operations,"TRANSPORTATION, AIDE,SPEC.ED",Transportation Department,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Transportation,BUS DRIVER AIDE,transportation - Second Runs,702.74,,,General Operating Fund,EXTRA RUN
198390,EMPLOYEE BENEFITS,"PLANNING,RESEARCH,DEVELOPMENT",LEVY OVERRIDE,"Specialist II, PC Apps ",,,CHIEF OPERATING OFFICER,,SASI,PROFESSIONAL-OTHER,,3264.09,STUDENT SUBMISSIONS,n/a,,CENTRAL
250155,Extra Duty/Signing Bonus Pay,Athletics and Related,,CROSS CNTRY CCH,,General,School ,,Cocurricular & Extra Curricular Activities,,,1234.09284973,,,Athletics,
267160,Salaries for Support Personnel,Undistributed,,CLERK III- SCH,,General,School ,1.0,School Leadership,,,27977.167073400004,,,General Fund,
92342,Salaries And Wages For Substitute Professionals,Basic Educational Services,Operations,TEACHER SUBSTITUTE POOL,All Campus Payroll,Salaries And Wages For Substitute Teachers,School ,,Instruction,DEGREED SUBSTITUTE,Basic Educational Services - District Objective ,94.597986111,,,General Operating Fund,REGULAR PAY
84509,Professional Salaries,Bilingual Education,,T-EL 2ND ESL,,General,School ,1.0,Instruction,,,55799.536539,,,General Fund,
7943,Professional Salaries,High School Allotment,,T-HS READING,,General,School ,1.0,Instruction,,,60525.8443035,,,General Fund,
165173,Professional Salaries,Prekindergarten,,T-EL PK ESL,,Pre-K,School ,1.0,Instruction,,,60278.045221099994,,,General Fund,
280187,ALL OTHER SUPPLEMENTS         ,,,CUSTODIAN                     ,,,School ,,OPERATION OF PLANT            ,,,149.3,,,GENERAL FUND                  ,
306354,GENERAL SUPPLIES,ART EDUCATION,GENERAL FUND,(blank),,,,,NON-PROJECT,UNDESIGNATED,,954.56,,Turnaround,,REGULAR INSTRUCTION
420449,SALARIES OF REGULAR EMPLOYEES,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Elementary ",,,,0.583348352955,ELA E-TEACHING SHELTERED ENG,PROFESSIONAL-INSTRUCTIONAL,,34798.706130800005,,Regular,,REGULAR INSTRUCTION
228052,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1.0,Instruction,,,28185.8423402,,,General Fund,
437309,Professional Salaries,Bilingual Education,,T-EL 1ST ESL,,General,School ,1.0,Instruction,,,52964.138904,,,General Fund,
298739,Regular *,,Support Services--Pupils,FLEXIBLE CONTENT EXPERT,,,CHIEF ACADEMIC OFFICER,0.04,Direction of Support Services - Pupils *,,,3828.16019743,ADM/PROF,,Title  School Improvement Stimulus G,"SCHOOL IMPROVEMENT,G"
408530,Employee Allowance,Special Education,,TRAVEL,,General,School ,,Instruction,,,2153.1267671,,,General Fund,
343486,Employee Allowance,Undistributed,,TRAVEL,,General,School ,,Curriculum & Instructional Staff Development,,,602.294985002,,,General Fund,
395932,Non-Employee Travel Expense,Accelerated Education,,,,General,Christian Academy,,Curriculum & Instructional Staff Development,,,1381.93,,,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",
9211,Technical Equipment,,Support Services - Central,,,Equipment *,,,Statistical Services *,,,7000.19,,,General,STUDENT ASSIGNMENTS
234744,Extra Duty/Signing Bonus Pay,Undistributed,,NWSPPR/YRBK DIR,,General,School ,,Cocurricular & Extra Curricular Activities,,,3159.20416055,,,General Fund,
70957,Salaries for Support Personnel,Special Education,,BUS DRIVER,,General,Transportation Office,0.5,Student Transportation,,,15583.6517903,,,General Fund,
236863,Salaries for Support Personnel,Undistributed,,F/S MGR III,,General,School ,1.0,Food Services,,,44048.5556757,,,Nat'l Schl Breakfast & Lunch Prog.,
133176,Salaries for Support Personnel,Undistributed,,ELEC FR'MN,,General,Service Center Bldg & Grounds,1.0,Plant Maintenance & Operations,,,74111.5737571,,,General Fund,
57257,SALARIES OF PART TIME EMPLOYEE,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Short Term Sub ",,,,0.006465517241380001,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,,165.381907702,TEACHER SUBS,Regular,,REGULAR INSTRUCTION
282397,Substitute Teachers,Prekindergarten,,,,Pre-K,Early Childhood Center,,Instruction,,,0.58,,,General Fund,
228021,Professional Salaries,Nondisciplinary AEP-Basic Services,,T-HS SOC SCI,,General,Independence,0.5,Instruction,,,36883.603795499985,,,General Fund,
344030,Salaries And Wages For Teachers And Other Professi,Undistributed,Operations,"COUNSELOR, REGULAR",All Campus Payroll,Salaries And Wages For Teachers And Other Professi,School ,0.65,"""Guidance, Counseling And Evaluation Services""",COUNSELOR ELEM/INTERM,Undistributed,38706.5647827,,,General Operating Fund,REGULAR PAY
396308,Salaries for Support Personnel,Nondisciplinary AEP-Basic Services,,TCHR ASST,,General,Independence,1.0,Instruction,,,33142.5383835,,,General Fund,
321906,SALARIES OF REGULAR EMPLOYEES,LITERACY COACHES,LEVY OVERRIDE,"Facilitator,Elem ",,,,,FACILITATOR,PROFESSIONAL-INSTRUCTIONAL,,447.7208,,Regular,,INSTRUCTIONAL STAFF
241431,Other Objects,,Community Services,,,Other Objects,,,Other Community Services *,,,659.68,,,Title I - Disadvantaged Children/Targeted Assistance,PI-PUBLIC
385445,EMPLOYER PD MED CONTRIBUTION,STAFF SERVICES,GENERAL FUND,"Manager, Facility III ",,,PERSONNEL-PAID LEAVE,,NON-PROJECT,OFFICE/ADMINISTRATIVE SUPPORT,,42.9,,n/a,,CENTRAL
48284,Professional Salaries,Basic Educational Services,,T-HS ORCHESTRA,,Orchestra,School ,1.0,Instruction,,,53662.0548864,,,General Fund,
291146,Career Ladder,Special Education,,,,General,School ,,Instruction,,,1638.4776766399998,,,General Fund,
95458,EMPLOYEE BENEFITS,SUPPORT SERVICES-SCHOOL ADMIN,GENERAL FUND,Secretary I ,,,,,NON-PROJECT,OFFICE/ADMINISTRATIVE SUPPORT,,614.98,,Turnaround,,SCHOOL ADMINISTRATION
129240,SALARIES FOR OVERTIME,VEHICLE SERVICING AND MAINT,GENERAL FUND,Bus Driver - Relief ,,,TRANSPORTATION,,NON-PROJECT,"CRAFTS, TRADES, AND SERVICES",,79.89224,TRANSPORTATION,n/a,,STUDENT TRANSPORTATION
375274,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Secondary (High) ",,,,,EMPLOYEE RETIREMENT,UNDESIGNATED,,754.6400000000001,,n/a,,EMPLOYEE BENEFITS
144440,General Supplies,Undistributed,,,,General Supplies,School ,,Extracurricular Activities,,,343.88,,,Campus Activity Funds,
287810,,SPECIAL EDUCATION CATEGORY II,,Teacher-Special Need/Pre-K,,,,0.5,,PRE-K SPEECH (SLP),,33270.07,,,General Fund,
99891,Field Trips,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,800.35,,,General Fund,
63596,Reading Materials including Library Books,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,School Leadership,,,1000.13,,,Title I- Part A,
273387,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,Temporary Employee ,,,ASSESSMENT & RESEARCH,,EMPLOYEE RETIREMENT,UNDESIGNATED,,12.27,,n/a,,EMPLOYEE BENEFITS
138298,EMPLOYEE BENEFITS,GENERAL K-8 EDUCATION,GENERAL FUND,"Teacher, Elementary ",,,,,ELA E-TEACHING SHELTERED ENG,PROFESSIONAL-INSTRUCTIONAL,,660.21,,Regular,,REGULAR INSTRUCTION
40300,Professional Salaries,Basic Educational Services,,T-EL 3RD,,General,School ,0.51,Instruction,,,27127.087965799998,,,General Fund,
349422,Classroom Supplies,,Support Services - Instructional Staff,,,General Supplies *,,,Instruction And Curriculum Development Services *,,,-219.61,,,Special Trust,FUSE PROGRAM
129504,Salaries And Wages For Teachers And Other Professi,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""","TEACHER, BILINGUAL EDUCATION",Instruction And Curriculum,Extended Week,School ,,Instruction,TEACHER MASTER,,1003.47467241,,,"""Title  Part A Improving Basic Programs""",MISCELLANEOUS 
389983,Capital Outlay,,Support Services - Instructional Staff,,,Capital Outlay,,,Instruction And Curriculum Development Services *,,,129.15,,,Special Trust,ITEMS FOUNDATION-AUG 
140646,DUES AND FEES,STAFF DEVELOPMENT,STAFF DEVELOPMENT,,,,,,IMPROVEMENT OF INSTR SERV,,,653.27,,,General Fund,
237907,Part-Time Hourly,Special Education,,,,General,School ,,Instruction,,,1683.326,,,IDEA-B Formula,
133231,General Supplies,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,5856.24,,,Title I- Part A,
71319,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Community School Instructor ,,,,,NON-PROJECT,UNDESIGNATED,,-22.57,,n/a,,EMPLOYEE BENEFITS
119792,Professional Salaries,,,Teacher - ESL 4th Grade,,,School ,1.0,,,,55693.33474380001,,,General Fund,
56843,Copier Rental,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,999.13,,,Title I- Part A,
259914,Professional Salaries,Basic Educational Services,,T-HS PHYS/CHEM,,General,School ,0.6,Instruction,,,31711.830199799995,,,General Fund,
413217,General Supplies,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Community Services,,,297.34,,,Title I- Part A,
126695,EMPLOYEE BENEFITS,SUPPORT SERVICES-SCHOOL ADMIN,GENERAL FUND,Secretary I ,,,,,NON-PROJECT,OFFICE/ADMINISTRATIVE SUPPORT,,874.82,,Regular,,SCHOOL ADMINISTRATION
68136,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Secondary (High) ",,,,,NON-PROJECT,UNDESIGNATED,,-174.35,,n/a,,EMPLOYEE BENEFITS
276077,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,School ,0.0,BASIC (FEFP K-12)             ,,,198.38,,,GENERAL FUND                  ,
162048,Professional Salaries,Basic Educational Services,,T-HS CHEMISTRY,,General,School ,0.33,Instruction,,,17552.705179499993,,,General Fund,
133950,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Short Term Sub ",,,,,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,,6.7,TEACHER SUBS,Regular,,REGULAR INSTRUCTION
325941,Professional Salaries,Special Education,,T-EL/SE BIL,,General,School ,1.0,Instruction,,,55124.685799000006,,,General Fund,
433828,PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE,Misc,CAPITAL ROLLUP,,,,,,FACILITIES - ACQ & CONSTR,,,368.22,,,Capital Projects Fund,
47442,Salaries for Support Personnel,Undistributed,,GRDS CREW LDR,,General,Athletics-External ,1.0,Plant Maintenance & Operations,,,47923.261338,,,General Fund,
169100,Part-Time Hourly,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,-0.07,,,General Fund,
136950,Gas & Other Fuels,Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,5197.84,,,General Fund,
10147,Professional Salaries,Accelerated Education,,T-HS PHYS/CHEM,,General,School ,0.33,Instruction,,,17634.9420713,,,General Fund,
91091,Professional Salaries,Undistributed,,COUNS- HS,,General,School ,1.0,"Guidance, Counseling and Evaluation Services",,,60310.0085548,,,General Fund,
176258,Career Ladder,Basic Educational Services,,,,General,School ,,Instruction,,,1638.84767664,,,General Fund,
326769,Salaries for Support Personnel,State Comp.Ed.-Support Title I Campuses,,ISS MONITOR,,General,School ,1.0,Instruction,,,29753.7311857,,,Title I- Part A,
188973,Electricity *,,Community Services,,,Utilities Services,,,Non-Public School Services *,,,653.88,,,Auxiliary Services,AUX SERV -- MOBILE UNITS
371070,OTHER SUPPORT PERSONNEL       ,,,CARE GIVER I                  ,,,School ,0.0262989488703,COMMUNITY SERVICES            ,,,484.014299395,,,EXTENDED LEARNING CENTER ELC  ,
447632,ADDITIONAL/EXTRA DUTY PAY/STIP,SUCCESS - ELEMENTARY,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Elementary ",,,,, SUCCESS,PROFESSIONAL-INSTRUCTIONAL,,508.98376,,Regular,,REGULAR INSTRUCTION
