,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
375146,NO_LABEL,NO_LABEL,NO_LABEL,Non-School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,DUES AND FEES,,LEARN AND SERVE AMERICA,,,,,,,INSTRUCTION,,,525.07,"REGULAR SCHOOL BASED PROJECT, LEARN AND SERVE AMERICA",Learn And Serve America,
375900,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplies and Materials,,Community Services,,,,Supplies And Materials,,,Other Community Services *,,,1800.33,,Title I - Disadvantaged Children/Targeted Assistance, TITLE I PI+HOMELESS
376130,Student Assignment,Leadership,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Secretary, Executive I ",n/a,,,SCHOOL CHOICE,,NON-PROJECT,,OFFICE/ADMINISTRATIVE SUPPORT,981.78608,"PLANNING,RESEARCH,DEVELOPMENT",,CENTRAL
376244,Parent & Community Relations,Pupil Services & Enrichment,School Reported,School,Poverty,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,FEDERAL GDPG FUND - FY ,SFPC Liaison Specialist ,Regular,,,,,TITLE I,,PROFESSIONAL-OTHER,615.59048,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
376313,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Unspecified,Nurse,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,SCHOOL CLINIC ADMINISTRATION,,Undistributed,Salaries And Wages For Teachers And Other Professi,School ,1.0,Health Services,All Campus Payroll,NURSE,49227.3778752,Undistributed,General Operating Fund,REGULAR PAY
376439,Teacher Compensation,Instruction,School Reported,School,ELL,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,ESL/BILINGUAL EDUCATION,LOCAL,"TEACHER,SENIOR HIGH",,,,,1.0,,,,90341.2025886,,,
376543,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,Non-Position,Supplies/Materials,Non PreK,PreK-12 Operating,New Library Books,,Support Services - Instructional Staff,,,,Library Books *,,,School Library Services *,,,1339.98,,General,SCHOOL BASED MANAGEMENT
376569,Facilities & Maintenance,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,REPAIR AND MAINTENANCE SERVICES,,MISCELLANEOUS,,,,,ADMIN. SERVICES,,MAINTENANCE AND OPERATING,,,118.12,Misc,General Fund,
376815,Research & Accountability,Leadership,Leadership & Management,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Warehouse Worker II ,n/a,,,ASSESSMENT & RESEARCH,,NON-PROJECT,,UNDESIGNATED,-189.29,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
376854,Recruitment,ISPD,Shared Services,Non-School,Unspecified,Substitute,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,HUMAN RESOURCES RECRUITMENT,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Short Term Sub ",n/a,,,HUMAN RESOURCES,,NEW TEACHER RECRUITMENT,,PROFESSIONAL-INSTRUCTIONAL,37.88672,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
377659,Food Services,O&M,School Reported,School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,FOOD SERVICES,FOOD SERVICE FUND,Food Service Worker II ,Regular,,,,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",284.45,FOOD PREPARATION/SERVING,,FOOD SERVICES OPERATIONS
378912,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE,,SCHOOL-WIDE SCHOOL PGMS FOR TITLE GRANTS,,,,,,,INSTRUCTION,,,184.86,Misc,Schoolwide Schools,
380226,Curriculum Development,ISPD,Shared Services,Non-School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,GENERAL SUPPLIES,HUMANITIES,FEDERAL GDPG FUND - FY ,(blank),n/a,,,HUMANITIES,,SCHOOL VIOLENCE PREVENTION PRO,,UNDESIGNATED,704.1,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
380528,Library & Media,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,BOOKS (OTHER THAN TEXTBOOKS) AND PERIODICALS,,MEDIA CENTERS,,,,,,,EDUCATIONAL MEDIA SERVICE,,,366.5,MEDIA CENTERS,General Fund,
380589,Physical Health & Services,Pupil Services & Enrichment,Shared Services,Non-School,Special Education,Nurse,Benefits,PreK,PreK-12 Operating,EMPLOYEE BENEFITS,,ARRA - STIMULUS,Nurse ,n/a,,,SPECIAL EDUCATION,,IDEA PRESCHOOL ARRA,,PROFESSIONAL-INSTRUCTIONAL,1919.89,NURSING SERVICES,,STUDENTS
380687,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Nurse Aide,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Clinic Assistant,,,,,1.0,,,CLINIC ASSISTANT ,23268.11,NURSES,General Fund,
380960,School Administration,Leadership,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES                      ,,,,,,,School ,,SCH ADMIN (OFFICE OF PRINC)   ,,,499.33,,GENERAL FUND                  ,SCHOOL OPERATING ACCOUNT      
381589,Substitute Compensation,Instruction,NO_LABEL,Non-School,NO_LABEL,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,,,,,,,,,,,,,15415.25,,,
381686,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,REPAIRS AND MAINTENANCE SVCS,ITEMGG/FACILITIES,CAPITAL RESERVE FUND,(blank),,,,DEPARTMENT OF TECHNOLOGY SERVI,,NON-PROJECT,,UNDESIGNATED,31356.33,INFORMATION SYSTEMS SERVICES,,CENTRAL
381708,Governance,Leadership,Leadership & Management,Non-School,Unspecified,Non-Position,Contracted Services,NO_LABEL,PreK-12 Operating,OTHER PROFESSIONAL SERVICES,OFFICE OF THE SUPERINTENDENT,GENERAL FUND,(blank),n/a,,,SUPERINTENDENT OF SCHOOLS,,NON-PROJECT,,UNDESIGNATED,3999.35,OFFICE OF THE SUPERINTENDENT,,GENERAL ADMINISTRATION
382025,Student Assignment,Leadership,Shared Services,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Director ,n/a,,,SCHOOL CHOICE,,EMPLOYEE RETIREMENT,,UNDESIGNATED,907.18,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
382130,Library & Media,Instruction,School Reported,School,Poverty,Librarian,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,FEDERAL GDPG FUND,Library Tech I ,Regular,,,,,TITLE I,,PARAPROFESSIONAL,601.49,SCHOOL LIBRARY SERVICES,,INSTRUCTIONAL STAFF
382311,Professional Development,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating,COMMUNICATION,,STAFF DEVELOPMENT,,,,,PROF. LEARNING,,IMPROVEMENT OF INSTR SERV,,,175.73,STAFF DEVELOPMENT,General Fund,
382343,Professional Development,ISPD,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,Non PreK,PreK-12 Operating,Miscellaneous Operating Costs,,,,,,Food - Inservice,School ,,School Leadership,,,411.73,Undistributed,Campus Activity Funds,
382448,Security & Safety,O&M,Leadership & Management,Non-School,Unspecified,School Monitor/Security,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,SECURITY OFFICER,,,Extra Duty Pay/Overtime For Support Personnel,Undistributed,,Security And Monitoring Services,Public Relations Department,POLICE PATROL MAN,7.99,Undistributed,General Operating Fund,OVERTIME
382892,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Purchased Services,,Support Services - Instructional Staff,,,,Purchased Services,,,Instructional Staff Training Services *,,,9529.31,,Title I - Disadvantaged Children/Targeted Assistance,TITLE I SCHOOL IMPROVEMEN
383027,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,SCHOOL LEADERSHIP,LOCAL,"ASST. PRINCIPAL, SHS",,,,,1.0,,,,104611.596317,,,
383375,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Other Objects,,Support Services - Administration,,,,Other Objects,,,State and Federal Projects Coordination Services*,,,29964.72,,School to Work,YEAR ROUND YOUTH TRAINING
383854,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Psychologist,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,,GENERAL FUND,Psychologist ,Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,100.41,PSYCHOLOGICAL SERVICES,,STUDENTS
384101,Food Services,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,SCHOOL NUTRITION SERVICE,,,,,,,SCHOOL NUTRITION,,,8877.74,Misc,School Nutrition Service Fund,
384461,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplies and Materials,,Support Services - Instructional Staff,,,,Supplies And Materials,,,Other Improvements Of Instruction Services *,,,13720.0,,Miscellaneous State Grants,SCHOOL IMPROV INCENTIVES
384726,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Purchased Services,,Community Services,,,,Purchased Services,,,Other Community Services *,,,1457.51,,Title I - Disadvantaged Children/Targeted Assistance,PARENT INVOLVEMENT
384802,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,Non-Position,Supplies/Materials,Non PreK,PreK-12 Operating,Supplies and Materials,,Support Services - Instructional Staff,,,,Supplies And Materials,,,Instruction And Curriculum Development Services *,,,2500.07,,Special Trust,SAM'S CLUB FOUNDATION
384840,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Nurse,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,SCHOOL NURSE SERVICES,GENERAL FUND,Nurse ,n/a,,,SCHOOL NURSE SERVICES,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,1766.8168,NURSING SERVICES,,STUDENTS
384894,Substitute Compensation,Instruction,School Reported,School,Alternative,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Education Assistants,,,,,Alternative Schools Support,,,0.0,,SUBSTITUTE TEACHER,SUBSTITUTE TEACHER,85.12,Support - Regular Instruction,General Purpose School,
385675,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Elementary ",Regular,,,,,LIGHTS ON AFTER SCHOOL ,,PROFESSIONAL-INSTRUCTIONAL,229.86576000000002,AFTER SCHOOL PROGRAMS,,COCURRICULAR ED/ACTIVITIES
385704,Substitute Compensation,Instruction,School Reported,School,Special Education,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Substitute Teachers Non-Certified,,,,,IDEA Part B  ,,,0.0,,,SUBSTITUTE TEACHER,168.76,Instruction - SPED,School Federal Projects,INDIVIDUALS WITH DISABILITIES ACT PART B
386306,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,EXTRA DUTY PAY-INSTRUCTIONAL  ,,,LIBRARY/MEDIA SPECIALIST-ELEM ,,,,COMMUNITY EDUCATION           ,,COMMUNITY SERVICES            ,,,3536.06,,EXTENDED LEARNING CENTER ELC  ,
386611,Professional Development,ISPD,School Reported,School,Unspecified,Non-Position,Travel & Conferences,NO_LABEL,PreK-12 Operating,TRAVEL AND REGISTRATION,,GENERAL FUND,(blank),Regular,,,,,NON-PROJECT,,UNDESIGNATED,2886.81,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
386750,Utilities,O&M,School Reported,School,Unspecified,Non-Position,Rent/Utilities,NO_LABEL,PreK-12 Operating,NATURAL GAS,OPERATIONS - UTILITIES,GENERAL FUND,(blank),Regular,,,,,NON-PROJECT,,UNDESIGNATED,23111.38,CARE & UPKEEP OF BLDG SERVICES,,OPERATION AND MAINT OF PLANT
386785,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,,,Special Instruction,,,,General Supplies *,,,Disadvantaged Youth *,,,-5454.77,,Title I - Disadvantaged Children/Targeted Assistance,TITLE  SCHOOLWIDE
387136,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Elementary ",n/a,,,,,NON-PROJECT,,UNDESIGNATED,-1.63,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
387500,Professional Development,ISPD,School on Central Budgets,Non-School,Unspecified,Social Worker,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,TEACHER LEARNING & LEADERSHIP,GENERAL FUND,Social Worker ,n/a,,,TEACHER LEARNING & LEADERSHIP,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,247.47088,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
387577,Professional Development,ISPD,School on Central Budgets,Non-School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,COPYING,TEACHER LEARNING & LEADERSHIP,FEDERAL GDPG FUND - FY ,(blank),n/a,,,TEACHER LEARNING & LEADERSHIP,,TITLE II-PART A-TEACHER QUALIT,,UNDESIGNATED,1565.12,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
387616,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,NONCAPITALIZED  REMOD/RENOV   ,,,,,,,School ,,FACILITIES ACQ AND CONST      ,,,4.9300000000000015,,MILLAGE                  ,PLUMBING-Host Bgt             
387942,Curriculum Development,ISPD,Shared Services,Non-School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,EARLY EDUCATION,FEDERAL GDPG FUND - FY ,Project Coordinator ,n/a,,,EARLY CHILDHOOD EDUCATION,,HEAD START,,PROFESSIONAL-OTHER,1410.4765599999996,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
388681,Data Processing & Information Services,Business Services,School on Central Budgets,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Specialist II, PC Apps ",n/a,,,,,NON-PROJECT,,UNDESIGNATED,-673.0699999999998,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
388865,Aides Compensation,Instruction,School Reported,School,PreK,TA,Benefits,PreK,PreK-12 Operating,EMPLOYEE BENEFITS,,DISTRICT SPECIAL REVENUE FUNDS,Early Childhood Education ,Regular,,,,,TUITION BASED - ECE,,PARAPROFESSIONAL,216.88,EARLY CHILDHOOD,,REGULAR INSTRUCTION
389081,Professional Development,ISPD,Leadership & Management,Non-School,Unspecified,Instructional Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT          ,,,LITERACY COACH                ,,,,CHIEF ACADEMIC OFFICER        ,,INST STAFF TRAINING SVCS      ,USING DATA HUMAN CAPITAL DECIS,,105.71,,ARRA - RACE TO THE TOP        ,RACE TO THE TOP               
389188,Curriculum Development,ISPD,Shared Services,Non-School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,HUMANITIES,FEDERAL GDPG FUND - FY ,"Teacher,Retrd Shrt Term Sub ",n/a,,,HUMANITIES,0.006465517241380001,TITLE II-PART A-TEACHER QUALIT,,PROFESSIONAL-INSTRUCTIONAL,194.23247738799998,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
389658,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Secondary (High) ",Turnaround,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,1224.4,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
389939,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Operations,"CLERICAL,WAREHOUSE/RECEIVING",,,Salaries Or Wages For Support Personnel,Undistributed,0.89,Facilities Maintenance And Operations,Warehousing,CO CLERICAL,24230.6926159,Undistributed,General Operating Fund,REGULAR PAY
390121,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher, Super Sub Rtd D/D ",Regular,,,,0.00215517241379,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,91.62871635,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
390949,Untracked Budget Set-Aside,Untracked Budget Set-Aside,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,CLASSROOM TEACHER             ,,,"TSA, BASIC                    ",,,,School ,0.076923223327,BASIC (FEFP K-12)             ,,,4309.73868416,,GENERAL FUND                  ,
391464,Social & Emotional,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Social Worker,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,,GENERAL FUND,Social Worker ,n/a,,,SOCIAL WORK SERVICES,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,420.57,SOCIAL WORK SERVICES,,STUDENTS
391500,Utilities,O&M,School Reported,School,Unspecified,Non-Position,Rent/Utilities,NO_LABEL,PreK-12 Operating,WATER/SEWAGE,OPERATIONS - UTILITIES,GENERAL FUND,(blank),Regular,,,,,NON-PROJECT,,UNDESIGNATED,4536.8,CARE & UPKEEP OF BLDG SERVICES,,OPERATION AND MAINT OF PLANT
391619,Food Services,O&M,Shared Services,School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Child Nutrition,"CAFETERIA EMPLOYEE, FOOD SERV.",,Undistributed,Extra Duty Pay/Overtime For Support Personnel,School ,,Food Services (Child Nutrition Fund Only),Child Nutrition,REG FOOD SERVICE WORKER ,130.48000000000002,Undistributed,National School Breakfast And Lunch Program,ADDL REGULAR PAY-NOT SMOOTHED
392723,Security & Safety,O&M,School Reported,School,Unspecified,School Monitor/Security,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Other Compensation,,,,,Regular Instructional Support,,,0.0,,,SECURITY -  DAYS,69.6810124468,Support - Regular Instruction,General Purpose School,
392893,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Operations,"TRANSPORTATION,BUS DRIVERS,REG",,Transportation - Bus Drivers,Salaries Or Wages For Support Personnel,Undistributed,0.97,Transportation,Transportation Department,BUS DRIVER,25747.2914828,Undistributed,General Operating Fund,REGULAR PAY
392958,Other Compensation,Instruction,School Reported,School,Special Education,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES       ,,,CLERICAL/TCHR ASST SUB        ,,,,School ,0.0,EXCEPTIONAL                   ,,,24.87,,GENERAL FUND                  ,
393000,Student Transportation,O&M,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Manager, Fleet Operations ",n/a,,,TRANSPORTATION,,NON-PROJECT,,UNDESIGNATED,-58.90000000000001,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
393402,Governance,Leadership,Leadership & Management,Non-School,Unspecified,(Exec) Director,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Chief Strategy Officer ,n/a,,,STRATEGY OFFICE,,NON-PROJECT,,UNDESIGNATED,-1619.53,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
393406,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,CONTRACTING AND PROCUREMENT,LOCAL,CONTRACT SPECIALIST,,,,PROCUREMENT DIVISION,1.0,,,,67303.3892323,,,
393800,Social & Emotional,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Psychologist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,SPECIAL EDUCATION INSTRUCTION,LOCAL,PSYCHOLOGIST,,,,RELATED SERVICES,1.0,,,,79497.84492310001,,,
394056,Utilities,O&M,School Reported,School,Unspecified,Non-Position,Rent/Utilities,NO_LABEL,PreK-12 Operating,NATURAL GAS,OPERATIONS - UTILITIES,GENERAL FUND,(blank),Regular,,,,,NON-PROJECT,,UNDESIGNATED,23764.03,CARE & UPKEEP OF BLDG SERVICES,,OPERATION AND MAINT OF PLANT
394245,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,TERMINAL LEAVE VACATION       ,,,CUSTODIAN                     ,,,,School ,,OPERATION OF PLANT            ,,,642.8100000000002,,GENERAL FUND                  ,TERMINAL LEAVE                
394943,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,"Teacher,Spec Ed Center Prg ",n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,606.87,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
395144,Curriculum Development,ISPD,Shared Services,Non-School,PreK,Substitute,Benefits,PreK,PreK-12 Operating,EMPLOYEE BENEFITS,EARLY EDUCATION,FEDERAL GDPG FUND - FY ,"Teacher,Retrd Shrt Term Sub ",n/a,,,EARLY CHILDHOOD EDUCATION,,HEAD START,,PROFESSIONAL-INSTRUCTIONAL,4.3,EARLY CHILDHOOD,,REGULAR INSTRUCTION
395171,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,CLASSROOM TEACHER             ,,,"TEACHER, BUSINESS TECH ED     ",,,,School ,0.429999628387,VOCATIONAL (K-12)             ,,,22891.3810144,,GENERAL FUND                  ,
396246,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Purchased Services,,Support Services - Instructional Staff,,,,Purchased Services,,,Instruction And Curriculum Development Services *,,,2999.84,,Special Trust,ITEMS FOUNDATION-AUG 
396381,Utilities,O&M,School Reported,School,Unspecified,Non-Position,Rent/Utilities,NO_LABEL,PreK-12 Operating,WATER/SEWAGE,OPERATIONS - UTILITIES,GENERAL FUND,(blank),Regular,,,,,NON-PROJECT,,UNDESIGNATED,4764.01,CARE & UPKEEP OF BLDG SERVICES,,OPERATION AND MAINT OF PLANT
396560,Special Population Program Management & Support,ISPD,Leadership & Management,Non-School,Special Education,(Exec) Director,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,STRATEGIC MANAGEMENT,LOCAL,DEPUTY CHANCELLOR SPED,,,,SPECIAL EDUCATION - LEA,1.0,,,,188566.44353599998,,,
396645,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,GENERAL FUND,Tutor Paraprofessional ,Turnaround,,,,1.04722222222,NON-PROJECT,,PARAPROFESSIONAL,26201.958870200004,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
396774,Physical Health & Services,Pupil Services & Enrichment,Shared Services,Non-School,Unspecified,Non-Position,Contracted Services,NO_LABEL,PreK-12 Operating,OTHER PROFESSIONAL SERVICES,SCHOOL NURSE SERVICES,DISTRICT SPECIAL REVENUE FUNDS,(blank),n/a,,,SCHOOL NURSE SERVICES,,WELLNESS COORDINATOR,,UNDESIGNATED,2470.21,OTHER GENERAL EDUCATION,,REGULAR INSTRUCTION
397108,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES                      ,,,,,,,School ,,GUIDANCE SERVICES             ,,,153.05,,GENERAL FUND                  ,SCHOOL OPERATING ACCOUNT      
397925,Professional Development,ISPD,School Reported,School,Unspecified,Instructional Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,GENERAL FUND,"Facilitator,Elem ",Turnaround,,,,,ASSESSMENT MANAGEMENT FUND,,PROFESSIONAL-INSTRUCTIONAL,547.8,GENERAL K-8 EDUCATION,,REGULAR INSTRUCTION
397940,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,INSTRUCTIONAL SUPPORT TEAMS, MILL LEVY,"Specialist, Instructional ",n/a,,,ES TEAM ,0.499986357435,ARTS ED,,PROFESSIONAL-OTHER,43998.86051600001,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
398114,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,SPEECH & LANGUAGE,GENERAL FUND,Speech Lang Pathology Asst ,n/a,,,SPECIAL EDUCATION,,SPECIAL EDUCATION - ITINERANT,,PROFESSIONAL-OTHER,3037.46,SPECIAL EDUCATION-S/L,,SPECIAL EDUCATION
